"Ps","Scanpath","Scanpath_complex","age","gender","alarm","fire","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","numerical_format","correctness","Wave","Correct_answer","Given_answer","Correct_answer_belief","Bias_GC","Bias_belief","Numeracy_cat"
"a48587489a0ebe15","ABDDGHHCGFEDBABBDDEFCCCABDEDBHCFACFFEDBAA","A:2156,B:648,D:897,D:7532,G:406,H:13059,H:11285,C:1236,G:2410,F:3669,E:1616,D:1615,B:1252,A:4663,B:418,B:1136,D:336,D:1428,E:1718,F:9999,C:133,C:3179,C:1952,A:2886,B:131,D:456,E:1755,D:770,B:9714,H:13231,C:390,F:3927,A:2036,C:88,F:177,F:2077,E:532,D:3177,B:177,A:106,A:5762",28,"f",3,2,4.25,0.3,0.1,1,0.5,0.4,0.27,"frequency","incorrect","2",0.1711,0.5001,0.5171,0.465806845006567,0.480324528230969,"high"
"a55edb52b11e99b3","HABDEDBFGHHHBDA","H:5294,A:1067,B:977,D:892,E:1033,D:1905,B:417,F:951,G:950,H:1197,H:582,H:19289,B:368,D:1783,A:4281",31,"f",3,1,3.88,0.05,0.1,0.02,0.5,0.067,0.27,"frequency","incorrect","2",0.1711,0.0501,0.0151,-0.533412283673855,-1.05427306224793,"high"
"a5b585a5bd4b5fc2","BAABCCHCBDDBCGCCHHCHCAACGFEEFCFFHGFCFEDEFC","B:1065,A:1395,A:484,B:681,C:383,C:3403,H:9196,C:1074,B:714,D:183,D:415,B:283,C:399,G:865,C:616,C:948,H:2249,H:3447,C:614,H:3931,C:682,A:384,A:115,C:416,G:1599,F:33,E:315,E:50,F:548,C:117,F:348,F:949,H:2849,G:165,F:816,C:233,F:230,E:250,D:732,E:49,F:267,C:2700",25,"m",3,1,4.63,0.002,0,0.9,0,0.01,0,"frequency","incorrect","1",0.1531,0.1701,0.1531,0.045729122914308,0,"high"
"a5d3dcaee08b288a","HAHDC","H:6095,A:5974,H:13998,D:757,C:3014",27,"f",3,2,4.25,0.01,0.1,0.01,0.5,0.9,0.27,"frequency","incorrect","2",0.1711,0.0501,1e-04,-0.533412283673855,-3.2332500095411,"high"
"a69b4be8c4e43ccc","AABCFGCDEFGFEDEFHDEFHABDE","A:1394,A:68,B:1205,C:2001,F:857,G:783,C:549,D:3005,E:1919,F:628,G:354,F:84,E:331,D:2087,E:3040,F:3318,H:8346,D:297,E:70,F:2004,H:4158,A:21,B:252,D:440,E:770",23,"f",5,3,3.63,0.05,0,0.25,0,0.75,0,"probability","incorrect","1",0.0171,0.2501,0.0171,1.16511758133835,0,"high"
"a7533ab10f322ecc","AFHH","A:7829,F:4893,H:393,H:18575",44,"f",2,1,4,0.1,0,0.333,0,0.25,0,"frequency","incorrect","1",0.1291,0.0201,0.1291,-0.807730184845931,0,"high"
"a795828ad07f2e27","AAAABCABCDDEFGFEFGHH","A:200,A:730,A:46,A:99,B:1021,C:43,A:667,B:617,C:733,D:414,D:3425,E:682,F:500,G:1851,F:817,E:1153,F:143,G:480,H:548,H:7105",30,"f",3,3,3.88,0.15,0.1,0.2,0.5,0.3,0.27,"probability","incorrect","2",0.1711,0.2001,0.1051,0.0679970790951111,-0.211647293512858,"high"
"a79dd63d73149996","AABBBDBCDEFGFHBBCDDECH","A:62,A:38449,B:231,B:3421,B:90,D:499,B:4321,C:1432,D:1650,E:767,F:785,G:714,F:2803,H:8352,B:468,B:5393,C:732,D:2588,D:766,E:390,C:1911,H:3086",35,"f",2,2,4.5,0.25,0.1,0.15,0.5,0.1,0.27,"probability","incorrect","2",0.1711,0.5001,0.3331,0.465806845006567,0.289324623150077,"high"
"a7b36445d2022eee","EFCHGFABCBHBDECHCEDBHBCBAADBDBHH","E:6544,F:48,C:499,H:7010,G:2074,F:316,A:1569,B:1538,C:4303,B:2662,H:3999,B:687,D:7332,E:165,C:251,H:5625,C:99,E:501,D:1841,B:2714,H:11616,B:2158,C:7748,B:6008,A:203,A:1420,D:1052,B:751,D:1822,B:1808,H:4184,H:22003",65,"f",3,1,4.63,0.05,0,0.98,0,0.1,0,"probability","incorrect","1",0.3401,0.0501,0.3401,-0.831768906065476,0,"high"
"a7b5ecf411e4ba74","FCHHABAAABAAABHABDEHEDEFFBHAABHFG","F:28,C:397,H:553,H:22526,A:197,B:5965,A:49,A:1348,A:117,B:1447,A:168,A:584,A:1340,B:9186,H:6431,A:231,B:516,D:1301,E:397,H:7250,E:1150,D:583,E:133,F:1284,F:2037,B:2721,H:4309,A:2473,A:101,B:1970,H:4510,F:32,G:2428",68,"f",4,1,4,0.037,0.1,0.037,0.5,0,0.27,"frequency","incorrect","2",0.1711,0.1001,1.0001,-0.232815932061782,0.766793417735762,"high"
